society,price,sector,pricePerSqft,propertyType,area,bedRooms,bathRooms,additionalRooms,address,floorNum,facing,agePossesion,nearbyLocation,furnishDetails,features,balcony
  indiabulls enigma,8.0,sector 110,10767.16,flat,7430.0,5.0,7.0,servant room,"Indiabulls Enigma Sector 110, Gurgaon",14.0,east,1 to 5 Year Old,"['Dwarka Sector 21 Metro Station', 'Gurgaon Dreamz Mall', 'HUDA Market, Sector 14', 'Dwarka Expressway', 'Delhi Gurgaon Expressway', 'Sanskar Bharti Public School', 'The NorthCap University', 'Manipal Hospital, Gurugram', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'The Oberoi, Gurgaon', 'Fun N Food Village', 'InfinityS Badminton Academy', 'F9 Go Karting Gurgaon', 'SCC Rooftop Drive-In']","['30 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Power Back-up', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Internet/wi-fi connectivity', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",
"  anant raj estates, sector 63a, gurgaon",12.0,sector 63,,house,300.0,5.0,6.0,"servant room,pooja room","  anant raj estates, sector 63a, gurgaon",3.0,north,0 to 1 Year Old,"['Sector 55-56 Metro Station', 'WorldMark Gurgaon', 'Sohna Road (NH 248A)', 'DPS International Edge', 'Sushant University', 'Marengo Asia Hospitals', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Vatika Business Centre', 'De Adventure Park', 'Albatross Golf Course Club House']","['1 Water Purifier', '16 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '5 Geyser', '1 Stove', '39 Light', '7 AC', '4 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '5 Bed', '5 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave']","['Private Garden / Terrace', 'Maintenance Staff', 'False Ceiling Lighting', 'Recently Renovated', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal']",3
  ireo victory valley,5.06,sector 67,20023.74,flat,2527.0,3.0,3.0,servant room,"Ireo Victory Valley Sector 67, Gurgaon",4.0,east,1 to 5 Year Old,"['AIPL Joy Street Mall', 'Golf Course Extension Road', 'Alpine Convent School', 'DPG Institute of Technology', 'CK Birla Hospital', 'Indira Gandhi International Airport', 'iON Digital Zone (Gurugram)', 'Radisson Hotel Sohna Road', 'SkyJumper Trampoline Park', 'HUDA Mini Golf Course', 'PVR Drive in Theatre']","['4 Wardrobe', '8 Fan', '1 Exhaust Fan', '4 Geyser', '1 Stove', '13 Light', '6 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",
"  corner green belt kothi, dlf phase 1, gurgaon",15.0,sector 26,,house,3680.0,6.0,7.0,"study room,pooja room,others,servant room","  corner green belt kothi, dlf phase 1, gurgaon",3.0,north-east,1 to 5 Year Old,"['Dlf phase 1 metro station', 'Sector 42-43 metro station', 'Guru dronacharya metro station', 'Sikandarpur rmrg metro station', 'Sikanderpur metro station', 'Sikandarpur metro station', 'The shopping mall', 'Hanuman Mandir', 'New Life Church', 'Hanuman Mandir', 'Icici bank ATM', 'Rbs ATM', 'Kotak mahindra bank ATM', 'Axis bank ATM', 'Standard chartered ATM', 'The Dental Lounge', 'Marwah Clinic', 'Sikka Maternity And Surgical Center', 'Divine Look Clinic Centre 1', 'Anahat Hospital', ""St Stephen's Hospital Health Care Facility"", 'Sitaram Bhartia', 'Durga Poly Clinic', 'Lord Krishna Hospital', 'Guardian Pharmacy', 'Chikitsa', 'Emaar Business Park', 'Axis bank', 'Axis bank', 'PVR Cinames', 'Food Court', 'Shophouse by Kylin', 'Sagar Ratna', 'Starbucks', ""Carl's Jr."", 'Cafe Tonini', 'Nowhere Brewpub and cafe', 'Fat', 'Clock tower', 'Dighent cafe', 'Blue Tokai Coffee Roasters', 'Starbucks', 'Belgian Waffle', 'Drunken Monkey', 'CCD', 'PK Online', 'M2M Cybernetics', 'Two Horizon Center', 'Bahrisons library']","['6 Wardrobe', '9 Fan', '1 Exhaust Fan', '6 Geyser', '1 Stove', '1 Microwave', '13 Light', '1 Modular Kitchen', '1 Chimney', '8 AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",3+
  godrej habitat,2.1,sector 3,10105.87,flat,2078.0,3.0,3.0,store room,"Godrej Habitat Sector 3, Gurgaon",7.0,east,0 to 1 Year Old,"['Huda City Centre Metro Station', 'Star Mall', 'Dwarka Expressway', 'National Highway 8', 'Gems International School', 'ICFAI University', 'Sneh Hospital', 'Indira Gandhi International Airport', 'Country Inn & Suites by Radisson', 'Appu Ghar Water Park', 'HUDA Mini Golf Course']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",,
  adani m2k oyster grande,3.22,sector 102,12485.46,flat,2579.0,3.0,3.0,"study room,servant room","Adani M2K Oyster Grande Sector 102, Gurgaon",7.0,east,1 to 5 Year Old,"['The Esplanade Mall', 'Dwarka Express Highway', 'Delhi Public School', 'SGT University', 'The Signature Hospital', 'Indira Gandhi Airport', 'Gurugram Railway Station', 'Nehru Stadium']","['4 Wardrobe', '5 Fan', '1 Exhaust Fan', '3 Geyser', '17 Light', '1 Curtains', '4 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Internet/wi-fi connectivity', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",
"  sushant lok 2,sector 55, gurgaon",4.8,sector 55,,house,180.0,6.0,6.0,"pooja room,study room","  sushant lok 2,sector 55, gurgaon",3.0,north-east,10+ Year Old,"['Sector metro station', 'Sector metro station', 'Sector 54 chowk metro station', 'Hong Kong Bazaar Mall', 'Sanatan Dharm Mandir', 'Radhakrishna Shani Mandir', 'HANUMAN MANDIR', 'Indusind bank ATM', 'Icici bank ATM', 'Citi bank ATM', 'Icici bank ATM', 'State bank ATM', 'Arunodaya Deseret Eye Hospital', 'pracksht hospital', 'Surgicare Hospital Gurgaon', 'Kriti Hospital', 'Anand Hospital Gurgaon', 'HUDA Office Complex', 'Apollo Pharmacy', 'Medisca', 'Intellion Park', 'International Tech Park', 'HCG CNG Station', 'Heera Fuel Station', 'State bank of india', 'Indusind bank', 'Kotak mahindra bank', 'Hdfc bank', 'Icici bank', 'Axis bank', 'Hdfc bank & atm', 'Hdfc bank and atm', '222', 'Bikanerwala', 'Wat-a-Burger', 'Burger Singh', 'Naivedyam Restaurant', 'Pizza Hut', 'Clock tower', 'Ansal Institute of Technology', 'Sushant College of Arts & Architecture', 'Suncity School', 'Iilm University', 'IILM']","['6 Wardrobe', '6 Fan', '1 Exhaust Fan', '16 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Park', 'Bank Attached Property', 'Visitor Parking', 'Low Density Society', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",3+
"  vipul world, sector 48, gurgaon",8.5,sector 48,,house,330.0,20.0,20.0,others,"  vipul world, sector 48, gurgaon",4.0,north,0 to 1 Year Old,"['Airia Mall', 'GD Goenka School', 'The Millennium School', 'Polaris Hospital', 'Park Hospital', 'Medanta The Medicity', 'Artemis Hospital', 'Medanta Dialysis Center', 'IndusInd Bank', 'Children Park', 'Gurugram Railway Station', 'Lemon Tree Hotel', 'Vatika Business Park', 'Bharat Petrol Pump', 'Tau Devi Lal Sports Complex']","['20 Wardrobe', '1 Water Purifier', '40 Fan', '1 Exhaust Fan', '22 Geyser', '50 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",3+
  emaar mgf emerald floors premier,3.05,sector 65,,flat,,3.0,3.0,"study room,servant room","Emaar MGF Emerald Floors Premier Sector 65, Gurgaon",4.0,east,5 to 10 Year Old,"['WorldMark Gurgaon', 'Sohna Road', 'Golf Course Road', 'CK Birla Hospital', 'Delhi International Airport', 'Lemon Tree Hotel']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Piped-gas', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",,
"  ardee city, sector 52, gurgaon",4.65,sector 52,,house,158.0,9.0,6.0,"pooja room,study room,others,servant room","  ardee city, sector 52, gurgaon",3.0,east,1 to 5 Year Old,"['sector 54 chowk', 'Ardee Mall', 'Gurugram Public', 'Sushant University', 'Paras Hospitals', 'IGI', 'Kanhai Colony', 'Millennium', 'Taj City', 'Oysters Water Park', 'Tau Devi']","['8 Wardrobe', '9 Fan', '5 Geyser', '11 Light', '1 Curtains', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water Storage', 'Park', 'Visitor Parking', 'Rain Water Harvesting']",3+
  conscient elevate,8.75,sector 59,25773.2,flat,3395.0,4.0,4.0,servant room,"Conscient Elevate Sector 59, Gurgaon",5.0,north-east,1 to 5 Year Old,"['Rapid Metro Station Sector 55', 'Paras Trinity Mall Sector 63', 'Badshahpur Sohna Rd Highway', 'Mehrauli-Gurgaon Road', 'DPS International School Sector 50', 'Gurugram University Sector 51', 'W Pratiksha Hospital Sector 56', 'Indira Gandhi International Airport', 'Gurugram Railway Station', 'International Tech Park Gurgaon', 'Grand Hyatt Gurgaon', 'Mannat Park', 'ZEN Golf Range & Academy', 'Tau DeviLal Sports Complex']","['4 Fan', '4 Geyser', '10 Light', '6 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Centrally Air Conditioned', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'Bank Attached Property', 'Piped-gas', 'Swimming Pool', 'Park', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",
  unitech fresco,2.7,pocket i sector 50,14876.03,flat,1815.0,3.0,3.0,servant room,"Unitech Fresco Pocket I Nirvana Country, Gurgaon",10.0,north,1 to 5 Year Old,"['Rapid Metro Station Sector 55 56', 'M3M Cosmopolitan', 'Golf Course Ext Rd', 'The Paras World School', 'Park Hospital', 'IGI Airport', ""McDonald's India"", 'SkyJumper Trampoline Park']","['1 Water Purifier', '3 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '1 Stove', '5 Light', '1 Chimney', '1 Curtains', '1 AC', '1 Modular Kitchen', '1 Sofa', '1 Microwave', '1 Washing Machine', 'No Bed', 'No Geyser', 'No TV', 'No Wardrobe']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",
"  international city by sobha phase 2, sector 109, gurgaon",9.25,sector 109,,house,270.0,5.0,5.0,servant room,"  international city by sobha phase 2, sector 109, gurgaon",2.0,east,1 to 5 Year Old,"['Dwarka Sector 21 Metro Station', 'Pacific D21 Mall', 'Dwarka Expressway', 'Euro International School', 'The NorthCap University', 'Aryan Hospital', 'Indira Gandhi Intl Airport', 'Gurgaon Railway Station', 'Tata Consultancy Services', 'Crowne Plaza Gurgaon', 'Fun N Food Water Park', 'Hamoni Golf Camp', 'Nehru Stadium']","['7 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Airy Rooms', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",3+
"  suncity avenue 102, sector 102, gurgaon",0.85,sector 102,,house,518.0,2.0,2.0,not available,"  suncity avenue 102, sector 102, gurgaon",12.0,na,5 to 10 Year Old,"['The Esplanade Mall', 'Dwarka Expressway', 'Imperial Heritage School', 'Prime Scholars International School', 'SGT University', 'Shri Balaji’s Multispeciality Hospital', 'Aryan Hospital', 'Indira Gandhi International Airport', 'Basai Dhankot Railway Station', 'Tau DeviLal Sports Complex']",,,1
"  smart world orchard, sector 61, gurgaon",2.44,sector 61,,house,,3.0,3.0,"pooja room,study room,servant room,others","  smart world orchard, sector 61, gurgaon",4.0,south-east,Within 3 months,"['Sector 55-56 Metro Station', 'Airia Mall', 'Sohna Road', 'Shalom Presidency School', 'Sushant University', 'Marengo Asia Hospitals, Gurugram', 'Indira Gandhi International Airport', 'Gurugram Railway Station', 'Magnum Global Park', 'Grand Hyatt Gurgaon', 'Appu Ghar', 'Skyline Golf', 'Tau Devi Lal Athletic Stadium']","['5 Fan', '4 Geyser', '8 Light', '1 Chimney', '5 AC', '1 Modular Kitchen', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",3
  ats tourmale,2.08,sector 109,11885.71,flat,1750.0,3.0,3.0,pooja room,"ATS Tourmaline Sector 109, Gurgaon",10.0,north-east,1 to 5 Year Old,"['Dwarka Sector 21 Metro Station', 'NeoSquare Mall', 'Dwarka Expressway', 'Euro International School', 'The NorthCap University', 'Metro Hospital, Palam Vihar', 'Indira Gandhi International Airport', 'Accenture DDC5', 'Hyatt Place Gurgaon Udyog Vihar', 'Hamoni Golf Camp', 'Nehru Stadium']","['3 Wardrobe', '5 Fan', '10 Light', '1 Modular Kitchen', '1 Curtains', '1 Chimney', '5 AC', 'No Bed', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",
"  sushant lok phase 1, gurgaon",10.15,sector 43,,house,,5.0,6.0,"pooja room,store room,servant room","  sushant lok phase 1, gurgaon",3.0,north-east,1 to 5 Year Old,"['Huda city centre metro station', 'New Life Church', 'Hanuman Mandir', 'Hdfc bank ATM', 'Standard chartered ATM', 'Hdfc ATM', 'Rbs ATM', 'Kotak mahindra bank ATM', 'Standard chartered ATM', 'Citi bank ATM', 'Icici ATM', 'Axis bank ATM', 'Hdfc ATM', 'Dr. Naval Mendiratta', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Gupta', 'Dr. Kutbuddin Akbary', 'Max Hospital', 'Arihant Hospital', 'Paras Hospital Gurgaon', 'Sitaram Bhartia', 'Centre For Sight Gurgaon Sector 29', 'Guardian Pharmacy', 'Chikitsa', 'Gardian Pharmacy', 'City Medical', 'Bharat petroleum', 'Icici bank', 'Hdfc bank', 'Axis bank', 'PWO house', 'Balaji Vegetarian Paradise', 'The Chicken Boat', 'Naveidyam', 'CCD', 'Drunken Monkey', 'Belgian Waffle', 'Starbucks', 'Blue Tokai Coffee Roasters', 'Dighent cafe', 'Pizza Hut', 'Fat', 'Nowhere Brewpub and cafe', 'Stones2milestones', 'School of Inspired Leadership SOIL', 'Mantis Eye LLP', 'Dawnbit', 'PK Online', 'Ncr library', 'Bahrisons library']","['1 Water Purifier', '8 Fan', '1 Exhaust Fan', '7 Geyser', '14 Light', '6 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '5 Wardrobe', '1 Microwave', 'No Bed', 'No Dining Table', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",3
"  unitech aspen greens, nirvana country, gurgaon",17.0,sector 50,,house,3240.0,4.0,4.0,"others,study room,servant room","  unitech aspen greens, nirvana country, gurgaon",1.0,south-east,1 to 5 Year Old,"['Raheja Mall', 'Hong Kong Bazaar Mall', 'Radhakrishna Shani Mandir', 'Standard chartered ATM', 'Icici bank ATM', 'Vatsalya Clinic', 'Meher Clinic', 'Bones Clinic - Orthopaedics', 'Vishesh Dental', 'Park Hospital Gurgaon', 'Dr. Naresh Pandita', 'Neelkanth Health Care', 'Dr. Anuj Sharma', 'Skin Clinic', 'Divine Look Clinic Centre', 'Dr. Aruna Kalra', 'Wellness Eye Centre', 'Best Urologist Atcomplete Family Clinic', 'Sukhmani Hospital Pvt. Ltd', 'Wembley estate club', 'Gardian Pharmacy', 'Genius', 'Apollo Pharmacy', 'SPAZE BUSINESS PARK', 'Unitech', 'Hdfc bank', 'Hdfc bank', 'Icici bank', 'Hdfc bank', 'Indusind bank', 'Hdfc bank', 'SRS Cinemas', 'Madison and Pike', 'India', 'Haldiram', ""Domino's Pizza"", ""Nirula's"", 'Starbucks', 'Nook', 'Kamla International', 'Gurugram University', 'Delhi Public School Primary Section', 'Amity Global School', 'Manav Rachna School', 'St. Angels Sr', 'Unitech Business Park', 'Stryker Global Tech Center', 'McKinsey & Company Gurugram Knowledge Center', 'Carmesi Corporate', 'Manav Rachna Swimming Pool']","['6 Wardrobe', '1 Water Purifier', '4 Fan', '1 Exhaust Fan', '5 Geyser', '1 Stove', '15 Light', '1 Modular Kitchen', '1 Curtains', '1 Chimney', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Centrally Air Conditioned', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Park', 'Natural Light', 'Internet/wi-fi connectivity', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting']",2
